id,file,name,journal,authors,affiliations,len-original,len-anond,anthropic-score-1,anthropic-score-2,anthropic-score-3,anthropic-originality-1,anthropic-rigor-1,anthropic-scope-1,anthropic-impact-1,anthropic-written_by_ai-1,anthropic-originality-2,anthropic-rigor-2,anthropic-scope-2,anthropic-impact-2,anthropic-written_by_ai-2,anthropic-originality-3,anthropic-rigor-3,anthropic-scope-3,anthropic-impact-3,anthropic-written_by_ai-3,Unnamed: 0,gemma-score-1,gemma-score-2,gemma-score-3,gemma-originality-1,gemma-rigor-1,gemma-scope-1,gemma-impact-1,gemma-written_by_ai-1,gemma-originality-2,gemma-rigor-2,gemma-scope-2,gemma-impact-2,gemma-written_by_ai-2,gemma-originality-3,gemma-rigor-3,gemma-scope-3,gemma-impact-3,gemma-written_by_ai-3,llama-score-1,llama-score-2,llama-score-3,llama-originality-1,llama-rigor-1,llama-scope-1,llama-impact-1,llama-written_by_ai-1,llama-originality-2,llama-rigor-2,llama-scope-2,llama-impact-2,llama-written_by_ai-2,llama-originality-3,llama-rigor-3,llama-scope-3,llama-impact-3,llama-written_by_ai-3,openai-score-1,openai-score-2,openai-score-3,openai-originality-1,openai-rigor-1,openai-scope-1,openai-impact-1,openai-written_by_ai-1,openai-originality-2,openai-rigor-2,openai-scope-2,openai-impact-2,openai-written_by_ai-2,openai-originality-3,openai-rigor-3,openai-scope-3,openai-impact-3,openai-written_by_ai-3
4o-mac_0,4o-mac_0.txt,,,,,634,634,4,4,4,8,9,9,8,2,8,9,9,8,2,8,9,9,8,2,5,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,3,6,6,5,8,9,8,9,2,8,9,8,7,2,8,9,8,7,2,4,4,5,8,9,7,8,2,8,9,7,8,2,8,9,8,7,0
4o-mac_1,4o-mac_1.txt,,,,,512,512,4,3,4,8,7,9,8,2,8,7,9,9,2,8,7,9,9,2,6,3,3,3,6,5,7,6,8,6,5,7,6,8,6,5,7,6,8,5,5,5,8,9,8,9,6,8,9,8,9,6,8,9,8,9,6,4,4,3,8,7,8,9,3,9,8,7,8,0,8,7,8,9,1
4o-mac_2,4o-mac_2.txt,,,,,535,535,4,4,4,8,7,9,9,2,8,7,9,9,1,8,7,9,9,2,7,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,3,4,4,4,7,8,9,8,2,7,9,8,9,2,7,8,9,8,2,4,4,4,8,7,8,7,2,8,7,8,8,0,9,8,7,8,1
4o-mac_3,4o-mac_3.txt,,,,,577,577,4,4,4,8,9,9,10,1,8,9,9,10,1,8,9,9,10,1,8,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,3,5,5,5,8,9,8,9,2,7,8,9,8,2,8,9,8,9,2,4,4,4,8,9,7,8,2,8,9,8,7,0,9,8,8,9,2
4o-mac_4,4o-mac_4.txt,,,,,743,743,4,4,4,8,9,7,9,2,8,9,9,8,1,8,9,9,8,2,9,3,3,3,7,8,6,6,3,7,8,6,6,3,7,8,6,6,3,6,6,6,7,9,8,8,2,8,9,8,9,2,7,9,8,8,2,4,4,5,8,9,7,8,1,8,9,7,8,0,8,9,7,8,0
4o-mic_0,4o-mic_0.txt,,,,,586,586,4,4,4,8,7,9,8,2,8,7,9,8,2,8,7,9,8,2,0,3,3,3,6,7,6,5,2,6,7,6,6,3,6,7,6,6,2,6,6,6,8,9,7,8,2,8,9,7,8,2,8,9,7,8,2,4,5,4,8,9,7,8,1,8,7,6,8,2,8,9,7,8,1
4o-mic_1,4o-mic_1.txt,,,,,463,463,4,4,4,7,8,9,8,2,7,8,9,8,2,7,8,9,8,2,1,3,3,3,5,4,6,5,8,5,3,6,5,8,5,4,6,5,8,5,4,5,8,9,7,8,2,8,9,7,8,6,8,9,7,8,6,4,3,4,8,7,7,8,3,8,7,6,7,2,7,8,6,7,0
4o-mic_2,4o-mic_2.txt,,,,,435,435,4,4,4,8,7,9,8,2,8,7,9,8,2,8,7,9,9,2,2,3,3,3,6,7,7,6,8,6,7,7,6,8,6,7,7,6,8,4,4,4,8,9,8,7,2,8,9,8,7,2,8,9,8,7,2,4,4,3,8,9,8,7,2,8,7,8,9,1,8,9,8,7,1
4o-mic_3,4o-mic_3.txt,,,,,533,533,4,4,4,8,9,7,8,1,8,9,7,8,1,8,7,9,8,2,3,3,3,3,6,7,7,6,3,6,7,6,5,3,6,7,6,5,3,5,6,6,8,9,7,8,2,8,9,7,8,2,8,9,7,8,2,4,4,4,8,7,6,7,2,8,9,7,6,1,8,9,7,8,1
4o-mic_4,4o-mic_4.txt,,,,,556,556,4,4,4,7,8,9,8,2,7,8,9,8,2,7,8,9,8,2,4,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,4,5,5,6,7,9,8,8,2,7,9,8,8,2,7,9,8,8,2,5,4,4,8,9,8,7,1,8,9,8,7,1,8,9,8,7,2
claude-app_0,claude-app_0.txt,,,,,3989,3989,5,5,5,9,10,9,9,2,9,10,9,10,1,9,10,9,9,1,50,3,3,3,8,9,7,7,2,8,9,7,7,2,8,9,7,7,2,6,6,6,8,9,9,9,2,8,9,9,9,2,8,9,8,9,2,5,4,6,8,9,8,7,0,8,9,8,7,1,9,10,8,9,0
claude-app_1,claude-app_1.txt,,,,,4887,4887,5,5,5,9,10,9,10,1,9,10,9,10,0,9,10,9,10,1,51,4,4,4,8,9,7,7,2,8,9,7,7,2,8,9,7,7,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,9,9,2,5,5,5,8,9,7,8,2,8,9,8,9,1,8,9,9,8,1
claude-app_2,claude-app_2.txt,,,,,3360,3360,6,6,6,9,10,9,10,2,9,10,9,10,2,9,10,9,10,1,52,4,4,5,8,9,8,7,2,8,9,8,7,2,8,9,7,8,2,6,6,6,8,9,8,9,2,8,9,9,9,2,8,9,8,9,2,6,6,6,9,9,8,9,1,9,10,9,10,2,9,10,8,9,0
claude-app_3,claude-app_3.txt,,,,,3757,3757,6,5,5,9,9,8,10,1,8,9,9,10,1,9,10,9,10,1,53,3,5,5,8,9,7,8,2,8,9,8,7,2,8,9,7,8,2,6,6,6,8,9,9,8,2,8,9,9,9,2,8,9,8,9,2,6,6,6,9,10,8,9,0,8,9,8,9,0,9,10,9,10,1
claude-app_4,claude-app_4.txt,,,,,1677,1677,5,5,5,9,10,9,10,1,9,10,9,10,1,9,10,9,10,1,54,3,3,3,8,9,7,7,2,8,9,7,7,2,8,9,7,7,2,6,6,6,8,9,7,8,2,8,9,8,9,2,8,9,8,9,2,6,6,6,8,9,8,8,2,8,9,8,7,1,8,9,8,8,1
claude-fin_0,claude-fin_0.txt,,,,,1346,1346,5,5,5,8,9,9,9,1,8,9,9,9,1,8,9,9,9,2,55,4,4,4,8,9,7,7,3,7,8,7,6,3,8,9,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,5,8,9,7,8,1,8,9,7,8,1,9,9,8,8,1
claude-fin_1,claude-fin_1.txt,,,,,2148,2148,5,5,5,9,10,9,9,1,9,10,9,9,1,9,9,8,9,2,56,3,4,4,8,7,8,7,3,8,7,8,7,3,8,7,8,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,6,6,6,9,8,9,8,0,9,8,7,8,1,8,9,7,8,1
claude-fin_2,claude-fin_2.txt,,,,,1690,1690,4,4,4,9,8,9,10,1,9,8,9,9,1,9,8,9,10,1,57,3,3,3,7,8,7,7,2,7,8,7,6,2,7,8,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,4,8,9,8,7,1,8,9,8,7,1,9,8,8,9,2
claude-fin_3,claude-fin_3.txt,,,,,2023,2023,5,5,5,9,10,9,10,1,9,10,9,10,1,9,10,9,10,1,58,3,3,3,8,9,8,7,2,8,9,7,8,3,8,9,8,7,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,5,5,4,9,9,8,8,1,8,9,8,8,1,9,8,8,9,0
claude-fin_4,claude-fin_4.txt,,,,,3365,3365,5,5,5,9,10,9,9,1,9,10,9,8,1,9,10,9,9,0,59,3,3,3,8,9,7,6,2,8,9,7,6,2,8,9,7,7,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,5,6,5,9,9,8,9,1,9,8,8,8,1,8,9,7,8,1
claude-mac_0,claude-mac_0.txt,,,,,4157,4157,5,5,5,9,10,9,9,1,9,10,9,10,1,9,10,9,9,2,45,4,4,3,8,9,7,7,3,8,9,7,7,2,8,9,7,8,2,6,6,6,9,9,8,9,2,8,9,8,9,2,8,9,9,9,2,6,6,6,9,8,9,9,1,9,9,8,9,0,9,8,8,9,0
claude-mac_1,claude-mac_1.txt,,,,,2820,2820,5,5,4,9,9,8,10,1,9,10,9,10,1,9,10,9,10,1,46,3,3,3,8,9,7,8,2,8,9,7,8,2,8,9,7,8,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,6,4,9,9,8,9,1,9,8,8,9,2,9,8,8,9,1
claude-mac_2,claude-mac_2.txt,,,,,4422,4422,6,5,5,9,10,9,9,2,9,10,9,10,1,9,10,9,10,1,47,3,3,3,8,9,7,6,2,8,9,7,7,3,8,9,7,7,3,6,6,6,8,9,8,9,2,8,9,9,8,2,9,10,9,9,2,4,6,6,9,8,9,8,0,9,8,9,9,0,9,8,8,9,0
claude-mac_3,claude-mac_3.txt,,,,,3434,3434,5,6,5,9,10,9,10,0,9,10,9,9,1,9,10,9,10,1,48,3,4,3,8,9,7,8,3,8,9,7,7,2,8,9,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,9,9,8,9,2,6,6,6,8,9,8,7,1,9,10,8,9,1,9,9,8,8,0
claude-mac_4,claude-mac_4.txt,,,,,1843,1843,5,5,5,9,10,9,10,1,9,9,8,9,1,9,9,8,9,1,49,3,3,3,7,8,7,6,3,7,8,7,7,3,7,8,7,6,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,6,5,9,8,9,9,1,9,8,9,8,0,9,8,9,9,1
claude-mic_0,claude-mic_0.txt,,,,,2958,2958,4,5,4,9,9,8,9,1,9,10,9,10,1,9,10,9,10,1,40,3,3,3,8,9,7,7,2,7,8,7,6,2,8,9,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,9,8,2,4,5,4,8,9,8,7,0,8,9,8,7,0,8,9,8,7,1
claude-mic_1,claude-mic_1.txt,,,,,2829,2829,5,5,5,9,10,9,8,1,9,10,9,9,1,9,10,9,9,1,41,3,3,3,9,8,8,7,2,8,9,7,7,2,8,9,7,7,2,6,6,6,8,9,8,8,2,8,9,9,8,2,8,9,8,9,2,5,6,6,8,9,8,7,2,8,9,8,7,0,9,8,7,9,2
claude-mic_2,claude-mic_2.txt,,,,,1363,1363,5,5,5,9,10,9,9,1,9,10,9,8,1,8,9,9,8,1,42,4,4,4,7,8,7,7,3,7,8,7,6,3,7,8,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,5,8,9,7,8,1,9,8,7,8,1,9,8,8,7,1
claude-mic_3,claude-mic_3.txt,,,,,2938,2938,6,6,5,9,8,9,9,1,9,9,8,9,0,8,9,9,8,1,43,3,3,3,8,8,7,6,2,8,8,7,6,3,8,9,7,6,3,6,6,6,8,9,9,8,2,8,9,8,9,2,8,9,8,9,2,6,4,4,9,8,7,8,1,8,9,9,7,1,9,8,7,8,0
claude-mic_4,claude-mic_4.txt,,,,,2563,2563,5,5,4,9,8,9,8,2,9,10,9,8,1,9,9,8,9,2,44,5,5,4,8,7,7,6,3,8,7,7,6,3,8,7,7,6,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,5,4,6,9,8,7,8,2,9,8,8,9,2,9,8,8,9,2
deepseek-app_0,deepseek-app_0.txt,,,,,817,817,4,5,5,9,8,8,9,1,9,8,8,9,1,9,8,9,10,1,110,3,3,3,7,8,7,7,2,7,8,7,7,2,7,8,6,7,2,6,6,6,8,9,8,9,2,8,9,7,9,2,8,9,7,9,2,5,4,5,9,8,9,10,1,8,9,7,9,2,9,8,8,9,0
deepseek-app_1,deepseek-app_1.txt,,,,,973,973,5,4,5,8,9,9,10,1,8,9,9,10,1,8,9,9,10,1,111,4,4,4,7,8,7,6,3,7,8,7,7,3,7,8,7,7,3,6,6,6,8,9,7,9,2,8,9,7,8,2,8,9,7,8,2,6,4,4,9,9,8,8,1,8,9,7,8,1,8,9,8,9,1
deepseek-app_2,deepseek-app_2.txt,,,,,829,829,5,4,4,8,9,9,10,2,8,9,9,10,2,8,9,9,10,1,112,3,3,3,8,9,7,8,2,8,9,7,7,3,8,9,7,7,2,6,6,6,8,9,7,8,2,8,9,8,9,2,8,9,7,8,2,6,4,6,9,8,8,9,0,8,9,7,8,1,8,9,7,9,1
deepseek-app_3,deepseek-app_3.txt,,,,,629,629,5,5,5,8,9,7,9,1,8,9,9,9,1,8,9,8,9,1,113,3,4,3,7,8,6,7,2,7,8,6,6,2,7,8,6,6,2,6,6,6,8,9,7,8,2,8,9,7,8,2,8,9,7,8,2,4,6,6,8,9,7,8,2,8,9,8,7,2,8,9,7,8,0
deepseek-app_4,deepseek-app_4.txt,,,,,808,808,4,4,4,9,8,9,10,2,8,9,9,10,1,8,9,9,10,1,114,3,3,3,8,9,7,7,2,7,8,7,7,2,7,8,8,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,4,8,9,7,9,2,8,9,7,8,2,8,9,9,8,1
deepseek-fin_0,deepseek-fin_0.txt,,,,,762,762,5,5,5,9,8,9,10,2,9,8,9,8,1,9,8,9,8,2,115,3,3,3,8,7,7,6,3,8,7,7,6,2,8,7,7,6,3,6,6,6,8,9,8,7,2,8,9,8,9,6,8,9,9,8,2,4,5,4,9,8,7,8,2,8,9,8,7,0,8,9,7,8,2
deepseek-fin_1,deepseek-fin_1.txt,,,,,741,741,4,5,4,9,8,9,10,2,9,8,9,10,1,8,9,9,9,2,116,3,3,3,8,9,7,7,2,8,9,7,7,3,8,9,7,6,3,6,6,6,9,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,6,4,9,8,9,8,1,9,9,9,8,1,9,10,8,9,2
deepseek-fin_2,deepseek-fin_2.txt,,,,,794,794,5,5,5,8,9,9,8,1,8,9,9,8,1,8,9,9,9,1,117,3,3,3,7,8,7,6,3,7,8,7,6,3,7,8,7,6,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,6,8,9,7,8,1,8,9,7,8,0,8,9,8,7,0
deepseek-fin_3,deepseek-fin_3.txt,,,,,722,722,4,4,4,8,9,9,9,2,9,8,9,10,1,9,8,9,8,1,118,3,3,3,8,7,7,6,2,8,7,7,6,3,8,8,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,6,5,4,9,8,7,8,2,9,9,8,7,0,8,9,9,7,1
deepseek-fin_4,deepseek-fin_4.txt,,,,,610,610,5,4,4,8,9,9,9,2,8,9,9,10,1,8,9,9,9,2,119,3,3,3,7,8,7,6,3,7,8,7,6,3,8,9,7,6,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,4,8,9,8,7,1,8,9,7,8,2,8,9,8,7,0
deepseek-mac_0,deepseek-mac_0.txt,,,,,792,792,4,4,5,9,8,9,10,1,9,8,9,10,2,9,8,9,10,1,105,3,3,3,8,9,7,7,3,8,9,7,7,3,8,9,7,7,3,6,6,6,8,9,7,8,2,8,9,8,9,2,8,9,7,8,2,4,4,6,9,8,8,9,1,9,9,8,8,0,9,9,8,8,0
deepseek-mac_1,deepseek-mac_1.txt,,,,,707,707,5,4,4,9,8,9,10,1,8,9,9,10,1,9,8,9,10,1,106,3,3,3,8,9,7,8,2,7,8,7,7,2,8,8,7,7,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,6,4,6,9,8,8,9,1,9,8,7,8,1,9,9,8,9,1
deepseek-mac_2,deepseek-mac_2.txt,,,,,810,810,5,5,4,8,9,9,9,2,8,9,9,9,2,8,9,9,9,2,107,3,3,3,8,8,7,6,3,8,8,7,6,3,8,9,7,6,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,5,6,4,8,9,7,8,1,8,9,7,8,2,8,9,7,8,1
deepseek-mac_3,deepseek-mac_3.txt,,,,,721,721,4,4,4,9,8,8,9,2,9,8,9,10,1,9,8,9,10,1,108,3,3,3,8,7,7,6,3,8,7,7,6,3,8,7,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,4,9,9,8,7,1,9,8,8,9,0,9,8,7,9,1
deepseek-mac_4,deepseek-mac_4.txt,,,,,855,855,4,4,5,8,9,9,8,2,8,9,9,8,2,8,9,9,8,2,109,3,3,3,7,8,7,6,3,7,8,6,6,3,8,7,7,6,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,6,9,9,8,9,2,8,9,7,8,2,9,8,8,9,2
deepseek-mic_0,deepseek-mic_0.txt,,,,,910,910,5,5,5,9,8,9,10,1,9,8,9,9,1,9,8,9,10,1,100,3,3,3,8,9,7,7,2,8,9,7,7,2,8,9,7,7,2,6,6,6,8,9,8,9,2,9,9,8,9,2,9,9,8,9,2,5,5,6,8,9,7,8,1,9,8,8,9,0,9,8,7,8,2
deepseek-mic_1,deepseek-mic_1.txt,,,,,706,706,4,4,4,8,9,9,8,2,9,8,9,9,2,8,9,9,8,1,101,3,4,3,8,8,7,7,3,8,7,7,6,2,8,8,7,7,2,6,6,6,8,9,7,8,2,8,9,7,8,2,8,9,8,9,2,4,4,6,9,9,8,7,2,9,9,8,9,1,8,9,7,8,2
deepseek-mic_2,deepseek-mic_2.txt,,,,,856,856,5,5,5,9,8,9,10,1,9,8,9,10,1,9,8,8,9,2,102,3,3,3,8,9,7,7,2,8,9,7,7,2,8,9,7,7,2,6,6,6,8,9,7,9,2,8,9,7,8,2,8,9,8,9,2,4,4,4,9,9,8,7,1,8,9,7,8,1,8,9,7,8,1
deepseek-mic_3,deepseek-mic_3.txt,,,,,544,544,5,4,4,9,8,9,10,1,9,8,9,10,2,9,8,8,9,1,103,3,3,3,7,8,7,6,2,7,8,7,6,2,7,8,6,7,2,6,6,6,8,9,7,8,2,8,9,7,8,2,8,9,7,8,2,4,4,6,8,9,8,7,2,8,9,7,8,1,8,9,7,8,2
deepseek-mic_4,deepseek-mic_4.txt,,,,,767,767,4,4,4,9,8,9,10,1,9,8,9,10,1,8,9,9,9,1,104,3,3,4,8,8,7,7,2,8,8,7,7,2,8,8,7,7,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,5,6,6,9,8,7,8,1,8,9,7,9,1,9,8,8,9,1
gemma-app_0,gemma-app_0.txt,,,,,1582,1582,5,4,4,8,9,9,9,1,8,9,9,10,1,8,9,9,9,1,90,3,3,3,7,8,7,6,3,7,8,7,6,3,7,8,7,6,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,6,4,8,9,7,8,1,8,9,7,8,1,8,9,7,8,2
gemma-app_1,gemma-app_1.txt,,,,,1655,1655,4,6,4,8,9,9,9,1,8,9,9,8,2,8,9,9,10,1,91,3,3,3,7,8,7,6,3,7,8,7,6,3,7,8,7,6,2,6,6,6,8,9,8,9,2,8,9,7,8,2,8,9,8,9,2,4,6,4,9,8,7,8,2,9,8,8,9,1,9,8,8,9,0
gemma-app_2,gemma-app_2.txt,,,,,1486,1486,5,4,4,8,9,9,9,1,8,9,9,9,1,8,9,9,9,1,92,3,3,3,8,7,8,7,3,8,9,7,7,3,8,8,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,5,4,6,9,8,8,7,0,9,8,8,9,1,9,8,8,9,0
gemma-app_3,gemma-app_3.txt,,,,,1843,1843,4,5,4,8,9,9,8,2,8,9,9,8,2,8,9,8,9,1,93,3,3,3,8,9,7,7,3,8,9,7,7,3,7,8,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,6,4,4,8,9,7,8,0,8,9,7,8,2,8,9,7,8,1
gemma-app_4,gemma-app_4.txt,,,,,1627,1627,4,4,4,8,9,9,9,2,8,9,9,9,2,8,9,9,9,2,94,3,3,3,8,9,7,7,3,8,9,7,7,3,7,8,7,6,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,5,4,8,9,8,8,2,8,9,8,7,1,8,9,7,8,2
gemma-fin_0,gemma-fin_0.txt,,,,,1484,1484,5,4,5,9,8,9,10,1,8,9,9,9,1,8,9,9,10,1,95,3,3,3,7,8,7,6,2,8,9,7,7,2,8,9,7,7,2,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,6,4,9,9,8,8,0,8,9,8,7,1,9,8,8,9,3
gemma-fin_1,gemma-fin_1.txt,,,,,1466,1466,5,4,4,8,9,9,8,1,8,9,9,8,2,8,9,9,8,1,96,3,3,3,8,9,7,6,2,8,9,7,6,3,8,9,7,6,2,6,6,6,9,9,8,9,2,8,9,8,7,2,8,9,8,7,2,4,4,4,8,9,7,8,2,8,9,7,8,2,9,9,8,7,2
gemma-fin_2,gemma-fin_2.txt,,,,,1389,1389,4,4,4,8,9,9,8,1,8,9,9,9,1,8,9,9,9,1,97,3,3,3,7,8,7,6,3,7,8,7,6,3,7,8,7,6,3,6,6,6,8,9,8,9,2,8,9,7,8,2,8,9,8,9,2,4,4,4,8,9,7,8,1,8,9,9,8,2,9,8,7,8,1
gemma-fin_3,gemma-fin_3.txt,,,,,1448,1448,4,4,5,8,9,9,8,1,8,9,9,8,1,8,9,9,8,1,98,3,3,3,8,7,7,6,3,7,8,7,6,2,7,8,7,6,3,6,6,6,8,9,8,9,2,8,9,8,7,2,8,9,7,8,2,4,4,4,8,9,7,8,1,8,9,7,7,2,8,9,7,8,2
gemma-fin_4,gemma-fin_4.txt,,,,,1529,1529,4,3,4,8,9,9,8,2,8,9,7,8,1,8,9,9,8,1,99,3,3,3,7,8,7,6,3,7,8,7,6,3,7,8,6,6,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,7,8,2,4,4,4,8,9,8,7,1,8,9,7,6,0,8,9,7,8,0
gemma-mac_0,gemma-mac_0.txt,,,,,1355,1355,5,5,4,8,9,9,8,1,8,9,9,8,2,8,9,9,9,1,85,3,3,3,7,8,7,6,3,8,9,7,7,2,7,8,7,6,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,8,9,2,4,4,4,8,9,8,7,1,8,9,8,7,1,9,8,7,8,2
