,id,file,name,journal,authors,affiliations,len-original,len-anond,gemma-0-score-1,gemma-0-score-2,gemma-0-score-3,gemma-0-originality-1,gemma-0-rigor-1,gemma-0-scope-1,gemma-0-impact-1,gemma-0-written_by_ai-1,gemma-0-originality-2,gemma-0-rigor-2,gemma-0-scope-2,gemma-0-impact-2,gemma-0-written_by_ai-2,gemma-0-originality-3,gemma-0-rigor-3,gemma-0-scope-3,gemma-0-impact-3,gemma-0-written_by_ai-3,gemma-1-score-1,gemma-1-score-2,gemma-1-score-3,gemma-1-originality-1,gemma-1-rigor-1,gemma-1-scope-1,gemma-1-impact-1,gemma-1-written_by_ai-1,gemma-1-originality-2,gemma-1-rigor-2,gemma-1-scope-2,gemma-1-impact-2,gemma-1-written_by_ai-2,gemma-1-originality-3,gemma-1-rigor-3,gemma-1-scope-3,gemma-1-impact-3,gemma-1-written_by_ai-3,gemma-10-score-1,gemma-10-score-2,gemma-10-score-3,gemma-10-originality-1,gemma-10-rigor-1,gemma-10-scope-1,gemma-10-impact-1,gemma-10-written_by_ai-1,gemma-10-originality-2,gemma-10-rigor-2,gemma-10-scope-2,gemma-10-impact-2,gemma-10-written_by_ai-2,gemma-10-originality-3,gemma-10-rigor-3,gemma-10-scope-3,gemma-10-impact-3,gemma-10-written_by_ai-3,gemma-50-score-1,gemma-50-score-2,gemma-50-score-3,gemma-50-originality-1,gemma-50-rigor-1,gemma-50-scope-1,gemma-50-impact-1,gemma-50-written_by_ai-1,gemma-50-originality-2,gemma-50-rigor-2,gemma-50-scope-2,gemma-50-impact-2,gemma-50-written_by_ai-2,gemma-50-originality-3,gemma-50-rigor-3,gemma-50-scope-3,gemma-50-impact-3,gemma-50-written_by_ai-3,gemma-100-score-1,gemma-100-score-2,gemma-100-score-3,gemma-100-originality-1,gemma-100-rigor-1,gemma-100-scope-1,gemma-100-impact-1,gemma-100-written_by_ai-1,gemma-100-originality-2,gemma-100-rigor-2,gemma-100-scope-2,gemma-100-impact-2,gemma-100-written_by_ai-2,gemma-100-originality-3,gemma-100-rigor-3,gemma-100-scope-3,gemma-100-impact-3,gemma-100-written_by_ai-3
10,2_0,2. Quarterly Journal of Economics/qjae020.pdf,"Stories, Statistics, and Memory",Quarterly Journal of Economics,Thomas Graeber; Christopher Roth; Florian Zimmermann,"Harvard Business School, United States; University of Cologne, Economics, IZA, and MPI for Research on Collective Goods Bonn, Germany; NHH Norwegian School of Economics, Norway; Centre for Economic Policy Research, United Kingdom; University of Bonn and IZA, Germany",17114.0,15404.0,3,3,3,6,5,7,6,8,6,5,7,6,4,6,5,7,6,2,3,3,4,7,8,6,5,2,7,8,6,5,2,7,8,6,5,2,3,3,4,7,8,7,6,2,7,8,6,6,2,8,7,7,6,2,4,4,4,7,8,7,6,2,7,8,6,5,2,7,8,6,5,2,4,4,4,6,8,7,6,2,6,7,7,6,2,7,8,6,7,2
11,2_1,2. Quarterly Journal of Economics/qjae037.pdf,A Welfare Analysis of Tax Audits across the Income Distribution,Quarterly Journal of Economics,William C. Boning; Nathaniel Hendren; Ben Sprung-Keyser; Ellen Stuart,"William C. Boning, U.S. Department of the Treasury, United States; Nathaniel Hendren, Massachusetts Institute of Technology and Policy Impacts, United States; Ben Sprung-Keyser, University of Pennsylvania and Policy Impacts, United States; Ellen Stuart, University of Sydney, Australia and Policy Impacts, United States",19602.0,17892.0,3,3,3,6,7,7,6,2,6,7,7,6,2,6,7,7,6,2,3,4,4,6,8,7,7,2,7,8,6,7,2,6,7,6,7,1,3,3,4,8,9,7,7,2,8,9,7,8,2,8,9,7,7,2,4,4,4,8,9,7,6,2,8,9,7,7,2,8,9,7,7,2,5,5,5,7,8,7,6,2,8,9,7,6,2,7,8,6,7,2
12,2_2,2. Quarterly Journal of Economics/qjae036.pdf,"War Reparations, Structural Change, and Intergenerational Mobility",Quarterly Journal of Economics,Matti Mitrunen,"University of Helsinki, Finland",24005.0,22134.0,3,3,3,7,6,7,6,2,7,6,7,6,2,7,6,7,6,3,4,4,4,7,8,7,6,2,7,8,6,5,1,7,8,6,5,2,4,4,4,7,8,6,7,2,7,8,7,6,2,7,8,6,6,2,5,5,5,9,8,7,6,2,9,8,7,6,3,9,8,7,6,2,6,6,5,7,8,7,6,3,7,8,7,6,2,7,8,7,6,2
13,2_3,2. Quarterly Journal of Economics/qjae022.pdf,THE DYNAMICS OF ABUSIVE RELATIONSHIPS,Quarterly Journal of Economics,Abi Adams; Kristiina Huttunen; Emily Nix; Ning Zhang,"UNIVERSITY OF OXFORD, UNITED KINGDOM; AALTO UNIVERSITY, FINLAND; UNIVERSITY OF SOUTHERN CALIFORNIA, UNITED STATES; THE CHINESE UNIVERSITY OF HONG KONG, HONG KONG",17334.0,16353.0,2,2,2,3,2,4,3,7,3,2,4,3,7,3,2,4,3,7,4,4,3,7,8,6,7,1,7,8,6,7,2,7,8,6,7,1,3,3,3,8,9,7,8,2,8,9,7,8,2,8,9,8,7,2,3,4,3,8,9,7,7,2,9,8,7,7,2,9,8,7,7,2,4,4,4,8,9,7,7,2,8,9,7,7,3,8,9,7,7,2
14,2_4,2. Quarterly Journal of Economics/qjae026.pdf,Present Bias Amplifies the Household Balance-Sheet Channels of Macroeconomic Policy,Quarterly Journal of Economics,Peter Maxted; David Laibson; Benjamin Moll,"Peter Maxted: Haas School of Business, University of California, Berkeley, United States; David Laibson: Harvard University, United States; Benjamin Moll: London School of Economics, United Kingdom",21093.0,19836.0,3,3,3,6,5,7,6,2,6,4,7,6,3,6,5,7,6,2,3,3,3,7,8,6,6,1,7,6,7,6,2,7,6,7,6,2,3,3,3,7,8,6,6,2,6,7,7,6,2,6,8,7,6,2,3,3,3,7,8,6,5,2,7,8,8,6,2,7,8,6,5,2,5,5,5,8,7,7,6,2,7,8,6,5,2,7,8,6,5,2
15,2_5,2. Quarterly Journal of Economics/qjae032.pdf,Overinference from Weak Signals and Underinference from Strong Signals,Quarterly Journal of Economics,Ned Augenblick; Eben Lazarus; Michael Thaler,"Haas School of Business, University of California, Berkeley, United States; Haas School of Business, University of California, Berkeley, United States; Department of Economics, University College London, United Kingdom",28459.0,26904.0,3,3,3,7,6,7,6,2,7,5,6,5,2,7,6,7,6,2,3,3,3,7,6,7,6,1,7,6,7,6,2,7,6,7,6,2,3,3,3,7,8,7,6,2,7,8,7,6,2,7,8,7,6,2,5,5,5,8,9,7,7,1,8,8,7,6,1,8,9,7,6,1,6,6,6,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2
16,2_6,2. Quarterly Journal of Economics/qjae019.pdf,EVOLUTION VS. CREATIONISM IN THE CLASSROOM: THE LASTING EFFECTS OF SCIENCE EDUC A TION,Quarterly Journal of Economics,BENJAMIN W. AROLD,"ETH ZURICH, SWITZERLAND",18758.0,17657.0,2,1,2,4,2,5,6,7,4,3,6,5,7,4,2,6,5,7,4,4,3,7,8,6,7,2,7,8,6,6,2,7,8,6,7,2,3,3,3,7,8,7,6,2,7,8,7,6,2,7,8,6,7,2,5,4,5,7,8,7,6,2,7,8,7,6,2,7,8,7,6,2,4,4,4,7,8,6,7,2,7,8,7,6,3,7,8,6,7,2
17,2_7,2. Quarterly Journal of Economics/qjae031.pdf,THE LONG-RUN IMPACTS OF PUBLIC INDUSTRIAL INVESTMENT ON LOCAL DEVELOPMENT AND ECONOMIC MOBILITY: EVIDENCE FROM WORLD WAR II,Quarterly Journal of Economics,Andrew Garin; Jonathan Rothbaum,"Carnegie Mellon University and National Bureau for Economic Research, United States; U.S. Census Bureau, United States",25209.0,24201.0,3,3,3,7,6,7,7,2,7,6,8,7,2,7,6,8,7,2,4,4,4,7,8,7,6,1,7,8,7,6,1,7,8,7,6,1,3,4,4,8,9,7,7,1,8,9,7,7,2,8,9,7,7,1,5,5,5,8,9,7,7,2,8,9,7,7,1,8,9,7,7,2,4,5,5,7,8,8,7,2,8,7,7,6,2,8,9,7,7,2
18,2_8,2. Quarterly Journal of Economics/qjae030.pdf,Believed Gender Differences in Social Preferences,Quarterly Journal of Economics,Christine L. Exley; Oliver P. Hauser; Molly Moore; John-Henry Pezzuto,"University of Michigan, United States; University of Exeter, United Kingdom; Washington University in St. Louis, United States; Rady School of Management, University of California, San Diego, United States",24888.0,23973.0,3,3,3,6,2,5,3,7,6,2,5,3,7,6,3,5,4,7,4,4,4,7,8,7,6,2,7,8,7,6,2,7,8,7,6,2,3,3,3,8,9,7,6,2,7,8,7,6,2,7,8,7,6,2,4,4,4,7,8,7,6,2,7,8,6,5,2,7,8,7,6,2,4,3,5,7,8,7,6,2,7,8,6,5,2,7,8,7,6,2
19,2_9,2. Quarterly Journal of Economics/qjae029.pdf,"MANDATORY NOTICE OF LAYOFF, JOB SEARCH, AND EFFICIENCY",Quarterly Journal of Economics,JONAS CEDERLÖF; PETER FREDRIKSSON; ARASH NEKOEI; DAVID SEIM,"INSTITUTE FOR EVALUATION OF LABOUR MARKET AND EDUCATION POLICY, SWEDEN; UPPSALA UNIVERSITY, SWEDEN; INSTITUTE FOR INTERNATIONAL ECONOMIC STUDIES (IIES), STOCKHOLM UNIVERSITY, SWEDEN; STOCKHOLM UNIVERSITY, SWEDEN",21081.0,20243.0,3,3,3,3,2,5,4,7,3,2,4,3,7,3,2,4,3,7,4,4,4,7,8,6,5,1,7,8,6,5,2,7,8,6,5,1,4,4,4,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2,5,5,5,8,9,7,6,1,8,9,7,6,2,8,9,7,6,2,4,4,3,7,8,6,5,2,7,8,6,5,2,7,8,6,5,2
20,3_0,3. American Economic Review/levy-razin-2025-political-social-learning-short-term-memory-and-cycles-of-polarization.pdf,Political ­Social Learning: ­Short-Term Memory and Cycles of Polarization†,American Economic Review,Gilat Levy; Ronny Razin,Levy: LSE (email: g.levy1@lse.ac.uk); Razin: LSE (email: r.razin@lse.ac.uk),12945.0,12505.0,3,3,3,7,6,7,6,2,7,6,7,6,3,7,6,8,6,3,3,3,3,7,6,7,6,3,7,6,7,6,3,7,6,7,6,2,3,3,3,7,7,6,6,2,7,7,7,6,2,6,7,6,5,3,3,3,3,7,8,6,5,3,7,6,7,5,3,7,8,7,6,3,3,3,3,7,6,7,6,3,6,7,7,6,3,6,7,7,6,3
21,3_1,3. American Economic Review/davis-krolikowski-2025-sticky-wages-on-the-layoff-margin.pdf,Sticky Wages on the Layoff Margin,American Economic Review,Steven J. Davis; Pawel M. Krolikowski,Davis: Hoover Institution at Stanford University; Krolikowski: Federal Reserve Bank of Cleveland,18113.0,17373.0,3,3,3,6,5,7,6,2,6,5,7,6,2,6,5,7,6,2,3,3,3,6,7,6,5,2,6,7,6,5,2,6,7,7,6,2,3,3,3,7,7,6,6,2,7,7,6,5,2,7,7,6,6,2,4,4,4,8,7,6,5,2,8,7,7,6,2,8,7,7,6,2,4,4,3,7,8,7,6,2,7,8,6,5,2,7,8,6,5,2
22,3_2,3. American Economic Review/clayton-schaab-2025-a-theory-of-dynamic-inflation-targets.pdf,A Theory of Dynamic Inflation Targets,American Economic Review,Christopher Clayton; Andreas Schaab,Yale School of Management and NBER; UC Berkeley,23487.0,22877.0,3,3,3,7,6,8,7,2,7,6,8,7,2,7,6,8,7,2,3,3,3,7,8,6,7,2,7,6,7,6,3,7,6,7,6,2,3,3,3,7,8,6,6,2,7,8,6,6,2,7,8,6,6,2,5,5,5,8,9,7,6,2,7,8,7,6,2,8,9,7,6,2,5,5,4,8,8,7,6,2,7,8,7,6,2,7,8,6,5,2
23,3_3,3. American Economic Review/chen-et-al-2025-regulating-conglomerates-evidence-from-an-energy-conservation-program-in-china.pdf,Regulating Conglomerates: Evidence from an Energy Conservation Program in China,American Economic Review,Qiaoyi Chen; Zhao Chen; Zhikuo Liu; Juan Carlos Suárez Serrato; Daniel Yi Xu,Qiaoyi Chen: Fudan University; Zhao Chen: Fudan University; Zhikuo Liu: Fudan University; Juan Carlos Suárez Serrato: Stanford University GSB and NBER; Daniel Yi Xu: Duke University and NBER,21218.0,20259.0,3,3,2,6,4,7,5,2,6,4,6,5,3,6,4,6,5,2,3,3,3,7,8,6,6,2,7,8,6,7,2,7,8,6,7,2,3,3,3,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2,3,3,3,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2,4,4,5,7,8,7,6,2,7,8,7,6,2,8,7,7,6,2
24,3_4,3. American Economic Review/ali-shorrer-2025-hedging-when-applying-simultaneous-search-with-correlation.pdf,Hedging When Applying: Simultaneous Search with Correlation,American Economic Review,S. Nageeb Ali; Ran I. Shorrer,S. Nageeb Ali: Pennsylvania State University; Ran I. Shorrer: Pennsylvania State University,13854.0,13428.0,3,3,3,6,4,7,5,2,6,5,7,6,2,6,5,7,6,2,3,3,3,7,6,6,5,2,7,6,6,4,2,7,6,6,5,2,3,3,3,8,7,7,6,2,7,8,6,5,2,7,8,6,6,2,4,4,4,7,8,6,5,3,7,8,7,6,3,7,8,7,6,2,6,6,6,8,9,7,6,2,8,9,7,6,2,8,7,6,5,2
25,3_5,3. American Economic Review/guo-shmaya-2025-robust-monopoly-regulation.pdf,Robust Monopoly Regulation,American Economic Review,Yingni Guo; Eran Shmaya,Yingni Guo: Duke University; Northwestern University; Eran Shmaya: Stony Brook University,19139.0,18612.0,3,3,3,7,6,7,6,3,7,6,7,6,3,6,7,7,5,2,3,3,3,7,6,6,5,3,7,6,6,5,2,7,6,6,5,2,3,3,3,7,8,6,6,3,7,8,6,6,2,7,8,6,5,2,3,3,3,6,8,7,5,2,6,8,7,5,2,6,8,7,6,3,3,3,3,7,8,6,6,3,7,8,6,5,3,7,8,6,5,2
26,3_6,3. American Economic Review/aneja-et-al-2025-the-benefits-of-revealing-race-evidence-from-minority-owned-local-businesses.pdf,The Benefits of Revealing Race: Evidence from Minority-Owned Local Businesses,American Economic Review,Abhay Aneja; Michael Luca; Oren Reshef,"Abhay Aneja: UC Berkeley, School of Law; Michael Luca: Johns Hopkins University, Carey Business School and NBER; Oren Reshef: Washington University in St. Louis, Olin Business School",15805.0,15305.0,3,3,3,6,3,6,5,7,6,3,7,5,8,6,3,5,4,7,4,3,3,7,6,6,5,2,6,7,6,6,2,6,7,7,6,2,4,4,4,7,8,6,6,2,7,8,6,6,2,8,9,7,6,2,4,4,4,7,8,6,5,2,7,8,6,5,2,7,8,6,5,3,5,5,5,7,8,6,6,2,7,8,6,5,2,7,8,6,5,2
27,3_7,3. American Economic Review/alan-kubilay-2025-empowering-adolescents-to-transform-schools-lessons-from-a-behavioral-targeting.pdf,Empowering Adolescents to Transform Schools: Lessons from a Behavioral Targeting,American Economic Review,Sule Alan; Elif Kubilay,"Sule Alan: Brooks School of Public Policy and Department of Economics, Cornell University, and Bilkent University; Elif Kubilay: Department of Economics, University of Essex",20871.0,19785.0,3,3,3,6,7,7,6,3,6,7,7,6,2,6,7,7,6,2,3,3,3,7,6,7,7,2,7,6,7,8,2,7,6,7,8,2,4,4,4,7,8,7,6,2,8,9,7,8,2,7,8,7,6,2,5,5,5,8,9,7,6,2,8,9,7,8,2,8,8,7,7,2,5,5,5,8,9,7,7,2,8,9,7,7,2,8,9,7,6,2
28,3_8,3. American Economic Review/buchmann-et-al-2025-the-good-wife-reputation-dynamics-and-financial-decision-making-inside-the-household.pdf,The Good Wife? Reputation Dynamics and Financial Decision-Making inside the Household,American Economic Review,Nina Buchmann; Pascaline Dupas; Roberta Ziparo,"Nina Buchmann: Yale University; Pascaline Dupas: Princeton University and NBER; Roberta Ziparo: Aix-Marseille University, CNRS, AMSE",22857.0,22204.0,3,3,3,6,4,7,5,2,6,4,7,5,2,6,4,7,5,2,3,3,3,7,6,6,5,1,7,6,6,5,2,7,6,6,5,1,3,3,3,8,9,7,7,1,7,8,6,7,1,8,9,7,7,1,3,3,4,7,8,6,5,2,7,8,7,6,2,7,8,7,6,2,5,5,5,8,9,7,6,2,7,8,7,6,2,8,9,7,6,2
29,3_9,3. American Economic Review/jha-leslie-2025-start-up-costs-and-market-power-lessons-from-the-renewable-energy-transition.pdf,Start-Up Costs and Market Power: Lessons from the Renewable Energy Transition,American Economic Review,Akshaya Jha; Gordon Leslie,"Akshaya Jha: H. John Heinz III College, Carnegie Mellon University; Gordon Leslie: Department of Economics, Monash University",18752.0,18115.0,3,3,3,6,5,7,6,3,6,5,7,6,3,6,5,7,6,3,3,3,3,7,6,7,6,2,7,6,6,5,2,7,6,7,6,2,3,4,3,7,8,6,5,1,7,8,6,6,2,7,8,6,6,2,3,3,3,6,8,7,6,2,6,8,7,6,2,6,8,7,6,2,5,5,5,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2
30,4_0,4. Journal of Financial Economics/1-s2.0-S0304405X24002150-main.pdf,"JAQ of all trades: Job mismatch, firm productivity and managerial quality",Journal of Financial Economics,Luca Coraggio; Marco Pagano; Annalisa Scognamiglio; Joacim Tåg,"Luca Coraggio: Department of Economics and Statistics and CSEF, University of Naples Federico II, Via Cintia, 21, Naples, 80126, Italy; Marco Pagano: Department of Economics and Statistics and CSEF, University of Naples Federico II, Via Cintia, 21, Naples, 80126, Italy; Einaudi Institute for Economics and Finance, EIEF, Via Sallustiana, 62, Roma, 00187, Italy; Annalisa Scognamiglio: Department of Economics and Statistics and CSEF, University of Naples Federico II, Via Cintia, 21, Naples, 80126, Italy; Joacim Tåg: Hanken School of Economics, Arkadiankatu 22, Helsinki, 00100, Finland; Research Institute of Industrial Economics (IFN), Box 55665, Stockholm, SE-102 15, Sweden",24248.0,23312.0,3,3,3,7,6,7,6,3,7,6,7,6,2,7,6,7,6,3,3,3,3,7,6,7,6,2,7,6,8,7,2,7,6,7,6,2,3,3,3,8,7,7,6,3,8,7,7,6,3,8,7,7,6,3,4,4,4,8,7,7,6,2,8,7,7,6,2,8,9,7,6,2,5,5,5,8,7,7,6,2,8,7,7,6,2,8,7,7,6,2
31,4_1,4. Journal of Financial Economics/1-s2.0-S0304405X2400196X-main.pdf,Household mobility and mortgage rate lock,Journal of Financial Economics,Jack Liebersohn; Jesse Rothstein,"Department of Economics, University of California, Irvine, Irvine, USA; Goldman School of Public Policy and Department of Economics, University of California, Berkeley, 2607 Hearst Avenue, Berkeley, CA, 94720-7320, USA; NBER, 1050 Massachusetts Avenue, Cambridge, MA, 02138, USA; California Policy Lab, 2521 Channing Way, Berkeley, CA, 94720-5555, USA",12982.0,12248.0,3,3,3,6,5,7,6,2,6,7,7,5,3,6,7,7,6,3,3,3,3,6,7,5,4,2,6,7,6,5,2,6,7,6,5,2,3,3,3,7,8,7,6,2,7,8,6,7,2,7,8,7,6,2,3,3,3,7,8,7,6,2,7,8,7,6,2,7,8,7,6,2,4,5,5,6,7,7,6,2,7,8,7,7,2,7,8,7,6,2
